num,name,website,buildings
1,VESPER,https://www.cian.ru/zastroishchik-vesper-8731/,21 дом в 11 ЖК
2,Главстрой,https://www.cian.ru/zastroishchik-glavstroi-9456/,5 домов в 3 ЖК
3,Компания PIONEER,https://www.cian.ru/zastroishchik-kompaniia-pioneer-514/,85 домов в 17 ЖК
4,ANT Development,https://www.cian.ru/zastroishchik-ant-development-15235/,1 дом в 1 ЖК
5,Sminex,https://www.cian.ru/zastroishchik-sminex-586/,38 домов в 10 ЖК
6,Галс-Девелопмент,https://www.cian.ru/zastroishchik-gals-development-5590/,35 домов в 14 ЖК
7,UNIQ Development,https://www.cian.ru/zastroishchik-uniq-development-19119/,1 дом в 1 ЖК
8,"ООО ""СЗ ""Стадион ""Спартак""",https://www.cian.ru/zastroishchik-ooo-sz-stadion-spartak-8177/,7 домов в 2 ЖК
9,MR Group,https://www.cian.ru/zastroishchik-mr-group-6008/,141 дом в 30 ЖК
10,КОРТРОС,https://www.cian.ru/zastroishchik-kortros-7043/,103 дома в 19 ЖК
11,СТ Тауэрс,https://www.cian.ru/zastroishchik-st-tauers-9621/,2 дома в 1 ЖК
12,VOS’HOD,https://www.cian.ru/zastroishchik-voshod-16638/,1 дом в 1 ЖК
13,Dominanta,https://www.cian.ru/zastroishchik-dominanta-18640/,3 дома в 1 ЖК
14,Absolute Premium,https://www.cian.ru/zastroishchik-absolute-premium-17740/,12 домов в 1 ЖК
15,СЗ Третий Рим (Москва),https://www.cian.ru/zastroishchik-sz-tretii-rim-moskva-18787/,1 дом в 1 ЖК
16,Capital Group,https://www.cian.ru/zastroishchik-capital-group-7063/,76 домов в 36 ЖК
17,Мангазея,https://www.cian.ru/zastroishchik-mangazeia-9542/,28 домов в 5 ЖК
18,ГК Основа,https://www.cian.ru/zastroishchik-gk-osnova-11628/,32 дома в 11 ЖК
19,Regions Development,https://www.cian.ru/zastroishchik-regions-development-16631/,3 дома в 1 ЖК
20,Концерн КРОСТ,https://www.cian.ru/zastroishchik-kontsern-krost-6117/,84 дома в 18 ЖК
21,Среда,https://www.cian.ru/zastroishchik-sreda-18870/,12 домов в 2 ЖК
22,TEKTA GROUP,https://www.cian.ru/zastroishchik-tekta-group-7066/,45 домов в 13 ЖК
23,Hutton Development,https://www.cian.ru/zastroishchik-hutton-development-11087/,6 домов в 4 ЖК
24,ДОНСТРОЙ,https://www.cian.ru/zastroishchik-donstroi-6017/,136 домов в 46 ЖК
25,Колди (Coldy),https://www.cian.ru/zastroishchik-koldi-coldy-9596/,7 домов в 4 ЖК
26,СЗ Отрада Девелопмент,https://www.cian.ru/zastroishchik-sz-otrada-development-8616/,37 домов в 4 ЖК
27,ГК Сумма Элементов,https://www.cian.ru/zastroishchik-gk-summa-elementov-18037/,1 дом в 1 ЖК
28,Ташир,https://www.cian.ru/zastroishchik-tashir-7064/,24 дома в 15 ЖК
29,Level Group,https://www.cian.ru/zastroishchik-level-group-11623/,41 дом в 9 ЖК
30,Upside Development,https://www.cian.ru/zastroishchik-upside-development-14380/,6 домов в 4 ЖК
31,Sense Development,https://www.cian.ru/zastroishchik-sense-development-17238/,1 дом в 1 ЖК
32,FORMA,https://www.cian.ru/zastroishchik-forma-17071/,5 домов в 1 ЖК
33,TOUCH,https://www.cian.ru/zastroishchik-touch-17296/,10 домов в 5 ЖК
34,3SGroup,https://www.cian.ru/zastroishchik-3sgroup-14681/,15 домов в 5 ЖК
35,РГ-Девелопмент,https://www.cian.ru/zastroishchik-rg-development-8751/,42 дома в 9 ЖК
36,Трансстройинвест,https://www.cian.ru/zastroishchik-transstroiinvest-10251/,2 дома в 2 ЖК
37,Stenoy,https://www.cian.ru/zastroishchik-stenoy-17947/,3 дома в 2 ЖК
38,Группа Родина,https://www.cian.ru/zastroishchik-gruppa-rodina-15990/,9 домов в 1 ЖК
39,Группа ЛСР,https://www.cian.ru/zastroishchik-gruppa-lsr-7042/,181 дом в 9 ЖК
40,St Michael,https://www.cian.ru/zastroishchik-st-michael-10048/,3 дома в 1 ЖК
41,РКС Девелопмент,https://www.cian.ru/zastroishchik-rks-development-11916/,56 домов в 5 ЖК
42,ГК ФСК,https://www.cian.ru/zastroishchik-gk-fsk-5747/,197 домов в 37 ЖК
43,AFI Development,https://www.cian.ru/zastroishchik-afi-development-7046/,49 домов в 9 ЖК
44,СЗ СИЯНИЕ,https://www.cian.ru/zastroishchik-sz-siianie-19174/,1 дом в 1 ЖК
45,СЗ 5 ДОНСКОЙ,https://www.cian.ru/zastroishchik-sz-5-donskoi-18572/,1 дом в 1 ЖК
46,Группа Аквилон,https://www.cian.ru/zastroishchik-gruppa-akvilon-9591/,47 домов в 16 ЖК
47,ПРАЙМ ЛАЙФ,https://www.cian.ru/zastroishchik-praim-laif-17422/,3 дома в 1 ЖК
48,ГК Инград,https://www.cian.ru/zastroishchik-gk-ingrad-8732/,217 домов в 23 ЖК
49,LEGENDA Intelligent Development,https://www.cian.ru/zastroishchik-legenda-intelligent-development-8075/,32 дома в 9 ЖК
50,STONE,https://www.cian.ru/zastroishchik-stone-7229/,9 домов в 5 ЖК
51,1-й ДСК,https://www.cian.ru/zastroishchik-1-i-dsk-7877/,169 домов в 20 ЖК
52,DAR,https://www.cian.ru/zastroishchik-dar-19190/,4 дома в 1 ЖК
53,494 УНР,https://www.cian.ru/zastroishchik-494-unr-7903/,28 домов в 10 ЖК
54,Абсолют Недвижимость,https://www.cian.ru/zastroishchik-absoliut-nedvizhimost-5956/,188 домов в 6 ЖК
