author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
1-й ДСК;developer;https://www.cian.ru/sale/flat/298030201/;Москва;sale;flat;2;23;1;26.0;10828350;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;13,7 м²;-1;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/314441491/;Москва;sale;flat;9;15;1;26.7;11199983;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;16,1 м²;-1;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/313404545/;Москва;sale;flat;2;15;1;30.0;12582000;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;16,1 м²;-1;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/298030200/;Москва;sale;flat;2;23;1;34.8;13086540;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;12,5 м²;10,1 м²;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/300976146/;Москва;sale;flat;2;15;1;36.1;13575405;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;13,9 м²;10,6 м²;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/315463476/;Москва;sale;flat;7;15;1;38.9;14464965;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;15,3 м²;10 м²;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/313404552/;Москва;sale;flat;4;15;2;44.0;16711200;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;20,1 м²;8,8 м²;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
1-й ДСК;developer;https://www.cian.ru/sale/flat/313253880/;Москва;sale;flat;5;15;3;54.1;18761880;2026;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая, чистовая;33,2 м²;6,1 м²;74951379947;Гольяново;Монтажная ;вл8/24;Черкизовская;1-й Измайловский
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/312139815/;Москва;sale;flat;13;23;1;29.4;13750400;2028;-1;Монолитный;-1;Без отделки;14,1 м²;6,2 м²;74951387121;Печатники;Шоссейная ;4Д;Печатники;Адмирал
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/312960397/;Москва;sale;flat;10;23;1;29.9;13774100;2028;-1;Монолитный;-1;Без отделки;14,1 м²;6,4 м²;74951387121;Печатники;Шоссейная ;4Д;Печатники;Адмирал
