ID,name,latitude,longitude
1,"Школа № 1288, корпус № 6",37.5292095,55.7782163
2,Школа № 1141,37.7188551,55.6435543
3,Школа №499,37.7205177,55.643592
4,Средняя школа № 60,57.1227401,65.5710698
6,"ГБОУ Школа в Капотне (Учебный корпус ""Боровицкий"")",37.7968531,55.631654
7,"ГБОУ школа № 1363, корпус № 1",37.8237939,55.7077963
8,Школа-интернат им. Ю.В.Никулина,37.7902112,55.7043499
9,средняя общеобразовательная школа № 43,57.1757843,65.5481932
11,Центр образования №1470,37.644921,55.8139487
12,Школа №1981,37.5299146,55.5493695
13,Центр педагогического мастерства,37.6212747,55.7898209
14,Школа № 1503,37.6628376,55.8181393
15,Школа №132,54.9864971,73.402247
16,Школа №1095,37.6703797,55.8721435
17,Школа №757,37.6696544,55.8708491
18,Школа №1381,37.6912967,55.8729153
19,"Школа Свиблово, корпус 5",37.6542093,55.852089
20,Школа №100,37.4855824,55.7743882
21,Гимназия №1522,37.4822545,55.7730106
22,ГБОУ СОШ Школа №1010 Корпус №3,37.4788264,55.7708868
25,Школа-интернат №11,37.4715224,55.7696609
26,Школа № 1970,37.540229,55.538507
27,Школа №1961,37.5184753,55.5360095
28,Школа № 1492. Структурное подразделение № 2014,37.509966,55.5371856
29,Школа «Потенциал»,37.6405551,55.8051799
30,Школа № 1503,37.6597964,55.8186977
31,Гимназия № 1584,37.4289081,55.7453667
32,Школа №2009 здание №11,37.5302236,55.5393848
33,Лицей № 1574. ОП № 1,37.5905282,55.7745603
34,Центр образования №1447,37.5880813,55.7797874
38,Школа № 1574. Корпус Старопименовский,37.600585,55.7692423
39,"ГБОУ Школа в Капотне (Учебный корпус ""Камергерский"")",37.7967704,55.6301933
40,Школа «Содружество». Учебный корпус №1,37.7011875,55.7574312
41,Детская хоровая школа «Весна»,37.6480796,55.8706346
43,Школа №309,37.6793466,55.8632082
45,Школа №934,37.6778301,55.5823994
46,Школа №281,37.6703141,55.8665021
47,Центр образования №1816,37.4937056,55.7367864
48,Школа №426,37.7192144,55.6245364
49,Центр образования №117,37.534134,55.6693832
50,Гимназия №1517,37.4571477,55.7802492
51,Романовская школа,37.5820939,55.7728531
52,ГБОУ Школа №2089,37.9208877,55.6845895
53,Центр образования №1441«Бронная слобода»,37.5974549,55.7620395
54,Школа №298,37.6805273,55.8724788
55,Школа №1929,37.743337,55.6353589
58,Школа № 149 имени Героя Советского Союза Ю. Н. Зыкова,37.5009076,55.8057513
59,Школа №648,37.5022595,55.8554885
60,Школа №1043,37.7488536,55.6470008
61,Центр образования №1685,37.6526198,55.7475168
62,"Школа № 902 ""Диалог"", здание №3",37.6700217,55.5913274
63,"Школа № 902 ""Диалог"", здание №2",37.6660668,55.593533
64,средняя общеобразовательная школа № 37,57.1467051,65.569644
65,Школа №1274,37.67137,55.7233969
66,Школа №1314,37.7891315,55.7130695
67,Школа № 2090,37.7879981,55.713451
68,Школа №1415,37.6247623,55.8246563
69,"ГБОУ школа № 507, здание № 3",37.6542195,55.6673747
70,"ГБОУ школа № 2009, Школьный корпус 2",37.5197139,55.5447724
71,Центр образования №1492,37.5078683,55.5403055
72,"ГБОУ школа № 2009, Школьный корпус 3",37.5207983,55.5450665
73,Школа №1978,37.5064918,55.540001
74,Школа № 171 Школьное отделение № 2,37.5750929,55.7194291
75,ЦССВ им. Россолимо,37.9108377,55.7155183
76,Школа № 305,37.5798725,55.8755815
77,Школа-интернат для глухих детей №65,37.7377174,55.7162602
78,Школа-интернат №105,37.7402113,55.7165616
79,Школа №1114,37.4906759,55.7647688
80,Школа № 996,37.7236231,55.6269965
81,Спецшкола №991,37.7395421,55.6193772
82,ГБОУ школа № 1558 имени Росалии де Кастро,37.6603169,55.8681585
83,"ГБОУ школа № 507, здание № 9",37.6572188,55.6721224
84,Школа № 1266,37.578306,55.7048374
85,Центр образования №1421,37.7530688,55.7135878
86,Школа №1367,37.7524919,55.7146528
87,Школа № 1975 (надомного обучения),37.3444904,55.6376059
88,Школа №363 (начальные классы),37.7119852,55.8087912
89,Центр образования № 1466 имени Надежды Рушевой,37.6749566,55.6293298
90,Школа №1257,37.6259982,55.7145546
91,Школа №878 отделение №2,37.6979107,55.6143271
93,Центр образования №1409,37.5315363,55.7840878
94,Школа № 199 (начальные классы),37.5657951,55.692326
95,"ГБОУ школа №463, здание № 5",37.6705987,55.6756477
96,Лицей №1523,37.6817597,55.6773454
97,ГБОУ школа № 1527 Корпус 4,37.6876232,55.6808685
99,Школа №1213,37.5653435,55.8439594
100,Школа №1188,37.691191,55.8802901
101,Школа №396,37.6861473,55.7397949
102,Школа №1084,37.8401549,55.6985872
103,Начальная школа – детский сад № 1760,37.8409829,55.6995586
104,Школа № 1273. Корпус школьного образования №1,37.5227549,55.6292478
105,Гимназия №1570,37.5772352,55.7893227
106,Школа № 17. Школьное здание №4,37.5405138,55.6369476
107,Детский юношеский центр,37.6499429,55.8838133
108,Школа №1380,37.6516384,55.8844527
110,Школа №1738,37.8550367,55.6971043
111,Школа № 1260,37.5568668,55.6998705
112,Школа № 1273. Корпус школьного образования №2,37.5224043,55.6282814
113,Школа № 17. Школьное здание №2,37.5346001,55.6345233
114,Вечерняя школа №203,37.6770129,55.8667267
115,Школа №1950,37.5847443,55.7664959
116,Школа №1359,37.8448664,55.7015924
117,Школа Сотрудничества,37.6565492,55.7430626
118,ГБОУ Школа №1195,37.416842,55.7164504
119,Школа № 1064,37.5528767,55.5442775
120,Школа № 1065,37.5541608,55.5444947
121,"СП ""Гимназия""",37.4608347,55.7163312
122,Школа № 2072,37.8032021,55.743314
123,Школа им. Н.М. Карамзина. Корпус школьного образования №1 «Петербургский»,37.5406021,55.5923521
124,Кадетская школа №1702,37.5153349,55.8649025
125,Школа №91,37.5970008,55.7541698
126,Школа № 1358. Школьный корпус 3,37.3458787,55.8545566
127,Школа № 1358. Школьный корпус 2,37.3446272,55.8553302
128,Школа №199,37.571638,55.6901594
129,Школа № 1525,37.6701265,55.7846628
130,"Школа № 2107. Здание ""На Мещанской""",37.6274505,55.7769562
131,Школа №1234,37.5902819,55.753599
132,Спецшкола №486,37.6585159,55.7417619
133,Школа №498,37.6521352,55.7377925
134,Школа №57 (здание №2),37.5808146,55.7300903
135,Гимназия №19,54.9865509,73.3653582
136,Школа № 7 филиал № 3,37.5192988,55.6794451
137,Школа №1002,37.402164,55.6527893
138,школа №1001,37.4042368,55.6526001
139,Школа №1253,37.5922405,55.7346148
140,Социально-реабилитационный центр для несовершеннолетних,37.8504808,55.7137319
141,Школа с углубленным изучением иностранного языка № 1231 имени В. Д. Поленова,37.5923222,55.7387981
142,Школа №1598. Здание №2,37.829256,55.8185248
143,Школа №1078 (Модуль №2),37.8208288,55.8190333
144,Школа № 727,37.4297997,55.8277937
145,Школа №121,37.5493704,55.6697291
146,Школа №1259,37.6320087,55.7319937
147,Школа №633,37.8270964,55.7546747
148,Школа №1097,37.6574187,55.8659895
149,Лицей №1575,37.5320355,55.8050537
150,Школа №302,37.5794377,55.8804305
151,Школа №635,37.7923071,55.7571779
154,Школа № 727,37.4291092,55.8171761
155,Спортшкола № 46,37.6777051,55.6069056
156,Гимназия №45,37.5858468,55.6917983
157,"ГБОУ СОШ №1347, школьное отделение №1",37.4092129,55.6574565
158,Центр образования №1499,37.6605556,55.8357258
159,Блок начальных классов школы №1387,37.3863956,55.9106237
160,Школа «Золотое сечение»,37.577139,55.7385903
161,Гимназия №115,54.9571156,73.3831632
162,Школа №692,37.4730511,55.8563497
163,Школа «Содружество». Учебный корпус №2,37.6915744,55.7607457
164,Начальная школа №1826,37.5675411,55.8667093
165,Детский сад №1548,37.5604878,55.8611376
166,Школа №1383,37.5663031,55.8579072
167,Школа 1238,37.3456781,55.6453449
168,Школа № 1252 имени Сервантеса,37.4963393,55.8102107
169,Школа №1285,37.4485177,55.8338476
170,Школа № 2107. Школа им. Ромена Роллана,37.6320923,55.7854975
171,Школа №1231 имени В. Д. Поленова,37.5774833,55.7403285
172,Школа № 1133. Школа успеха,37.4188833,55.7504878
173,Школа № 1133. Школа развития,37.4179605,55.7516769
174,Гимназия №1517,37.4629548,55.7751017
175,Психоневрологический интернат №4,37.4590944,55.7362311
176,Школа № 1794. Здание 7,37.5658385,55.8696222
177,Школа № 1794. Здание 8,37.567721,55.8700469
178,Школа №2097 корпус №1,37.4298608,55.8467888
179,Школа № 1323,37.625783,55.7430375
180,Школа № 1234. Начальная школа,37.5852251,55.7562998
181,Школа №1223,37.5534485,55.8448107
182,Лицей № 1535,37.5650015,55.7260387
183,Школа №343,37.7770052,55.8034367
184,Школьное отделение № 22 Лицея № 1501,37.6066168,55.7699198
185,Школа №849,37.5396717,55.8752844
186,Школа №1121,37.5416211,55.8754473
187,Спецшкола №30,37.5714404,55.7370603
188,Школа №57 (здание №3),37.569045,55.7205716
189,Школа №45,37.5602548,55.7240585
190,Школа № 647,37.7377824,55.763312
191,Школа № 1329,37.4649297,55.6689647
192,"Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко. Здание ""На Хавской""",37.6146213,55.7133694
193,Школа №1409,37.5444968,55.7885255
194,Московский академический художественный лицей,37.6079558,55.7323416
195,Начальная школа - детский сад №1761,37.6784135,55.7534586
196,Гребная спортбаза ЦСК ВМФ РФ по академической гребле,37.4340277,55.7752087
197,Школа № 843,37.4602345,55.6698785
198,Школа №1236 имени С.В.Милашенкова. Отделение №250,37.5867705,55.817851
199,Школа № 656 им. А. С. Макаренко,37.5526854,55.8704118
200,Школа №767,37.7948285,55.8209221
201,"Школа ""Покровский квартал"". Здание на Б. Казенном",37.6555793,55.7605664
202,Иракская школа,37.5948429,55.7563414
203,Пушкинская гимназия на Пресне,37.5706237,55.7586151
204,Романовская школа,37.5695366,55.7672908
205,Школа № 962,37.5877126,55.8553388
206,Инженерно-техническая школа им. дважды Героя Советского Союза П.Р. Поповича,37.5480073,55.8057821
207,Специальная (коррекционная) общеобразовательная школа-интернат № 2,37.5347202,55.8098255
208,Кадетская школа № 1784,37.5684252,55.7803093
209,Школа № 63,37.4128149,55.7561458
210,Школа № 2054. Школьное отделение №3,37.6142371,55.7650282
211,Школа № 2030,37.5557759,55.7598673
212,Планета успеха,37.5280176,55.8366676
213,Школа с углубленным изучением отдельных предметов № 1234,37.6013492,55.7651748
214,Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 1631,37.5395776,55.8921625
215,Гимназия Марьина Роща имени В. Ф. Орлова. Учебный корпус 35,37.6046806,55.7865131
216,Школа №1501,37.6141136,55.7796397
217,Школа №30,55.0199066,73.4192992
218,"Интeрнат ""Третий Московский кадетский корпус имени Александра Невского""",37.6522596,55.7328784
219,Школа № 340,37.5366524,55.7588422
220,Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 184,37.5378709,55.8955124
221,Школа №1430,37.5668786,55.9038655
223,Школа №1221,37.6789543,55.7407482
224,Школа № 56,37.5492835,55.7467017
225,Школа №771,37.5346768,55.8827959
226,Школа №771,37.5373528,55.8865095
227,Школа №1291 с углублённым изучением английского языка,37.5373531,55.8872557
228,"Школа ""Колледж-XXI""",37.4021495,55.6481689
229,Инженерная школа № 1581. Корпус 2,37.65502,55.768521
230,"Многопрофильный лицей № 1799. СП ""Лицей на Полянке""",37.6180798,55.7369958
231,Многопрофильный лицей № 1799. СП «Школа № 19»,37.6217091,55.7441771
232,Школа №16,55.0236225,73.4124989
233,Гимназия №62,54.9675069,73.3946495
234,Лицей НИУ ВШЭ,37.6188347,55.7696296
235,Детская музыкальная школа № 76,37.3567544,55.7839008
236,"Школа ""Покровский квартал"". Здание на Покровке",37.6444861,55.7585886
237,"Курчатовская школа корпус ""Маршал""",37.4985782,55.7917885
238,Школа № 627,37.6360641,55.7330417
239,Центр образования №1480,37.6659139,55.7645917
240,Школа №700,37.5020715,55.7389273
242,Гимназия №1257,37.6256635,55.7144854
243,Лицей № 1535,37.5619802,55.7309714
244,"Школа № 2124 ""Центр развития и коррекции"" Здание №3",37.6365513,55.7610715
245,Школа № 554,37.5815156,55.6609508
246,Школа № 1231 им. В. Д. Поленова,37.5966758,55.7485171
247,Школа №1301 им. Е.Т. Гайдара,37.7385422,55.7800317
248,Школа №1262,37.6205231,55.7305746
249,Школа №1231,37.5890358,55.7498071
250,Школа № 1529 имени А. С. Грибоедова. Здание № 2,37.5925565,55.7451167
251,Школа № 1529 имени А. С. Грибоедова. Здание № 4,37.595742,55.7469797
252,Школа № 1277,37.6020225,55.7838582
253,"Школа Свиблово, корпус 3",37.635942,55.8507959
254,"Школа № 1288, корпус № 10",37.551338,55.7761138
255,Школа №1302,37.419357,55.8065133
256,Школа № 1270 «Вектор»,37.6651545,55.7439793
257,Лицей НИУ ВШЭ,37.6440206,55.7636235
258,"Частная школа ""Бнот Менахем""",37.6429479,55.7664398
259,Специализированная детско-юношеская школа олимпийского резерва № 94,37.3533299,55.789176
260,Общеобразовательная школа №1861 с дошкольным отделением,37.6715836,55.5776108
261,Школа №123,37.6022541,55.7579814
262,Школа №1232,37.5612288,55.7501767
264,Британская Международная Школа № 2,37.5275612,55.8186452
265,Школа № 67,37.5232664,55.7413846
266,Школа №1125,37.4921408,55.8829353
267,ГБОУ Школа № 1249,37.5185448,55.8012999
268,Британская Международная Школа № 1,37.5319324,55.8261245
269,Прогимназия №1661,37.5307217,55.8740524
270,"Школа ""Бескудниково"". Корпус 2",37.5421371,55.871938
271,Школьная академия,37.5146245,55.8506129
272,"Образовательный комплекс градостроительства ""Столица"". Отделение Саратовское",37.7364235,55.7116724
273,Лицей № 1564 имени Героя Советского Союза А.П. Белобородова. Здание № 1,37.3602854,55.8301599
274,Школа № 179,37.614753,55.7596561
275,Школа № 1601 имени Героя Советского Союза Е. К. Лютикова. Основная и средняя школа (4),37.5761265,55.8060143
276,"Школа ""Покровский квартал"". Здание на Лялином",37.6516152,55.7589931
277,Школа № 1499 им. И. А. Докукина,37.6443723,55.8344476
278,"ГБОУ Школа №1373, корпус №2",37.823674,55.7782872
279,Школа №1361,37.5367835,55.6749953
280,"Школа ""Покровский квартал"". Здание на Земляном валу",37.6551128,55.7539838
281,"Школа № 2123 имени Мигеля Эрнандеса. Корпус ""Стодесятая""",37.5949346,55.7568883
282,Лицей НИУ ВШЭ,37.6520715,55.7608039
283,Школа № 1239,37.588361,55.7606239
284,Школа №1113,37.6021606,55.7686461
285,"Школа № 498. Школьный корпус Марксистская улица, дом 9, корпус 2",37.6679886,55.7364752
286,"Школа № 498. Школьный корпус Большой Факельный переулок, дом 23",37.6680822,55.7413421
287,Школа №1900,37.3624176,55.8414361
