ID,name,latitude,longitude
1,ВкусВилл,37.5335214,55.8801338
2,ВкусВилл,37.3528128,55.6390816
3,ВкусВилл,37.8176967,55.751023
4,ВкусВилл,37.5033458,55.8608085
5,ВкусВилл,37.5310388,55.8674062
6,ВкусВилл,37.710465,55.6090086
7,ВкусВилл,37.5130798,55.7178847
8,ВкусВилл,37.6271247,55.7215512
9,ВкусВилл,37.5029316,55.6407601
10,ВкусВилл,37.6937522,55.6394117
11,ВкусВилл,37.4594256,55.7165908
12,ВкусВилл,37.5162564,55.5989304
13,ВкусВилл,37.6293504,55.873849
14,ВкусВилл,37.5466858,55.7388182
15,ВкусВилл,37.5341687,55.6871595
16,ВкусВилл,37.6227766,55.7912479
17,ВкусВилл,37.5525919,55.9367277
18,ВкусВилл,37.6505188,55.7612164
19,ВкусВилл,37.6026039,55.8869305
20,ВкусВилл,37.7117995,55.7737343
21,ВкусВилл,37.634278,55.7802484
22,ВкусВилл,37.597704,55.8913831
23,ВкусВилл,37.6374989,55.8064646
24,ВкусВилл,37.6502748,55.7701584
25,ВкусВилл,37.6510537,55.8549703
26,ВкусВилл,37.6845774,55.7043624
27,ВкусВилл,37.8495782,55.6984694
28,ВкусВилл,37.4841848,55.7377701
29,ВкусВилл,37.4835502,55.6320336
30,ВкусВилл,37.5145988,55.6588052
31,ВкусВилл,37.8115468,55.7005747
32,ВкусВилл,37.5716328,55.8123952
33,ВкусВилл,37.6784028,55.6332356
34,ВкусВилл,37.5817045,55.7655411
35,ВкусВилл,37.6063164,55.754368
36,ВкусВилл,37.4137602,55.7583978
37,ВкусВилл,37.6175803,55.7579896
38,ВкусВилл,37.5232309,55.6443452
39,ВкусВилл,37.526673,55.6353203
40,ВкусВилл,37.4272751,55.7320693
41,ВкусВилл,37.3635369,55.8458838
42,ВкусВилл,37.5883431,55.8124426
43,ВкусВилл,37.5549211,55.6941587
44,ВкусВилл,37.7716065,55.7052234
45,ВкусВилл,37.6656413,55.7795921
46,ВкусВилл,37.7949039,55.75852
47,ВкусВилл,37.7757376,55.7474705
48,ВкусВилл,37.5436078,55.9246047
49,ВкусВилл,37.5290297,55.7986726
50,ВкусВилл,37.6867116,55.7378568
51,ВкусВилл,37.5707859,55.6657551
52,ВкусВилл,37.6439734,55.7626504
53,ВкусВилл,37.6002698,55.7626542
54,ВкусВилл,37.82698,55.7672097
55,ВкусВилл,37.4086746,55.6498154
56,ВкусВилл,37.6116942,55.7314269
57,ВкусВилл,37.5628762,55.6786967
58,ВкусВилл,37.5352533,55.804174
59,ВкусВилл,37.6784189,55.789991
60,ВкусВилл,37.6216516,55.7226789
61,ВкусВилл,37.4698369,55.6751845
62,ВкусВилл,37.5347143,55.6906463
63,ВкусВилл,37.579337,55.7302309
64,ВкусВилл,37.5855829,55.8902814
65,Избёнка,37.3654252,55.644927
66,ВкусВилл,37.7997302,55.7964161
67,ВкусВилл,37.4067009,55.8022351
68,ВкусВилл,37.3491287,55.8475261
69,ВкусВилл,37.6189167,55.717068
70,ВкусВилл,37.5218072,55.8735803
71,ВкусВилл,37.7891895,55.7511347
72,ВкусВилл,37.4614273,55.8162744
73,ВкусВилл,37.5049858,55.6750883
74,ВкусВилл,37.5672874,55.7268306
75,ВкусВилл,37.8325452,55.7689982
76,ВкусВилл,37.8639688,55.7431171
77,ВкусВилл,37.6866778,55.7759454
78,ВкусВилл,37.4938217,55.8561761
79,ВкусВилл,37.4904693,55.8401133
80,ВкусВилл,37.595193,55.8330787
81,ВкусВилл,37.5883518,55.6918245
82,ВкусВилл,37.6432716,55.7758782
83,ВкусВилл,37.7579516,55.6376818
84,ВкусВилл,37.5695729,55.8172352
85,ВкусВилл,37.8037935,55.793522
86,ВкусВилл,37.5233208,55.6412991
87,ВкусВилл,37.5195047,55.6319387
88,ВкусВилл,37.7070074,55.6238844
89,ВкусВилл,37.6982412,55.6127645
90,ВкусВилл,37.5711333,55.6849649
91,ВкусВилл,37.6805632,55.8528039
92,ВкусВилл,37.5709721,55.6848173
93,ВкусВилл,37.3601115,55.8477944
94,ВкусВилл,37.4861192,55.8397343
95,ВкусВилл,37.5176077,55.7782835
96,ВкусВилл,37.4068872,55.7578417
97,ВкусВилл,37.3810389,55.8404886
98,ВкусВилл,37.6962795,55.8799387
99,ВкусВилл,37.7576042,55.6592666
100,ВкусВилл,37.5091314,55.6251855
101,ВкусВилл,37.7663535,55.6537044
102,ВкусВилл,37.4082863,55.7618085
103,ВкусВилл,37.5569585,55.8790566
104,ВкусВилл,37.5672309,55.8561921
105,ВкусВилл,37.4773398,55.8460348
106,ВкусВилл,37.6556164,55.8814191
107,ВкусВилл,37.5213388,55.7140911
108,ВкусВилл,37.8740561,55.7437408
109,ВкусВилл,37.3551138,55.8364159
110,ВкусВилл,37.7472532,55.6593217
111,ВкусВилл,37.6080795,55.7144214
112,ВкусВилл,37.5663509,55.8130365
113,ВкусВилл,37.5223028,55.7848975
114,ВкусВилл,37.7399266,55.6482692
115,ВкусВилл,37.5709027,55.7195194
116,ВкусВилл,37.5179017,55.533891
117,ВкусВилл,37.6002405,55.7787052
118,ВкусВилл,37.6566409,55.7553001
119,ВкусВилл,37.5141305,55.6805426
120,ВкусВилл,37.5255889,55.6799528
121,ВкусВилл,37.5042995,55.8005392
122,ВкусВилл,37.4829011,55.8605896
123,ВкусВилл,37.6621878,55.8329687
124,ВкусВилл,37.4360382,55.8511753
125,ВкусВилл,37.4437099,55.8520073
126,ВкусВилл,37.5020471,55.8184535
127,ВкусВилл,37.8190244,55.8236981
128,ВкусВилл,37.5660021,55.8253715
129,ВкусВилл,37.4371464,55.7236838
130,ВкусВилл,37.6317889,55.7371068
131,ВкусВилл,37.6627797,55.8922614
132,ВкусВилл,37.6529554,55.6369234
133,ВкусВилл,37.6056298,55.6622801
