author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/313246225/;Москва;sale;flat;6;6;5;375.8;1518680000;2026;-1;Монолитный;-1;Без отделки;149,6 м²;77,9 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246214/;Москва;sale;flat;3;6;2;120.3;267800000;2026;-1;Монолитный;-1;Без отделки;35,8 м²;37 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Группа Родина;developer;https://www.cian.ru/sale/flat/315366349/;Москва;sale;flat;10;31;2;33.2;13380000;2027;-1;Монолитно-кирпичный;-1;Без отделки;19,9 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Sminex;developer;https://www.cian.ru/sale/flat/313246212/;Москва;sale;flat;3;6;1;78.7;190610000;2026;-1;Монолитный;-1;Без отделки;15,7 м²;33,2 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/309097275/;Москва;sale;flat;6;6;5;392.2;1572060000;2026;-1;Монолитный;-1;Без отделки;118,7 м²;79 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Группа Родина;developer;https://www.cian.ru/sale/flat/314322562/;Москва;sale;flat;5;31;3;70.0;24950000;2027;-1;Монолитно-кирпичный;-1;Без отделки;47,2 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Sminex;developer;https://www.cian.ru/sale/flat/303463986/;Москва;sale;flat;2;6;4;176.5;393520000;2026;-1;Монолитный;-1;Без отделки;53,4 м²;70,7 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Группа Родина;developer;https://www.cian.ru/sale/flat/312347347/;Москва;sale;flat;17;31;2;51.5;18125000;2027;-1;Монолитно-кирпичный;-1;Без отделки;26,8 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314659913/;Москва;sale;flat;7;20;1;26.8;20069600;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,3 м²;7,6 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/313744390/;Москва;sale;flat;13;23;3;85.5;41688500;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;55,7 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
