ID,name,latitude,longitude
1,"Школа № 1288, корпус № 6",55.7782163,37.5292095
2,Школа № 1141,55.6435543,37.7188551
3,Школа №499,55.643592,37.7205177
4,Средняя школа № 60,57.1227401,65.5710698
6,"ГБОУ Школа в Капотне (Учебный корпус ""Боровицкий"")",55.631654,37.7968531
7,"ГБОУ школа № 1363, корпус № 1",55.7077963,37.8237939
8,Школа-интернат им. Ю.В.Никулина,55.7043499,37.7902112
9,средняя общеобразовательная школа № 43,57.1757843,65.5481932
11,Центр образования №1470,55.8139487,37.644921
12,Школа №1981,55.5493695,37.5299146
13,Центр педагогического мастерства,55.7898209,37.6212747
14,Школа № 1503,55.8181393,37.6628376
15,Школа №132,54.9864971,73.402247
16,Школа №1095,55.8721435,37.6703797
17,Школа №757,55.8708491,37.6696544
18,Школа №1381,55.8729153,37.6912967
19,"Школа Свиблово, корпус 5",55.852089,37.6542093
20,Школа №100,55.7743882,37.4855824
21,Гимназия №1522,55.7730106,37.4822545
22,ГБОУ СОШ Школа №1010 Корпус №3,55.7708868,37.4788264
25,Школа-интернат №11,55.7696609,37.4715224
26,Школа № 1970,55.538507,37.540229
27,Школа №1961,55.5360095,37.5184753
28,Школа № 1492. Структурное подразделение № 2014,55.5371856,37.509966
29,Школа «Потенциал»,55.8051799,37.6405551
30,Школа № 1503,55.8186977,37.6597964
31,Гимназия № 1584,55.7453667,37.4289081
32,Школа №2009 здание №11,55.5393848,37.5302236
33,Лицей № 1574. ОП № 1,55.7745603,37.5905282
34,Центр образования №1447,55.7797874,37.5880813
38,Школа № 1574. Корпус Старопименовский,55.7692423,37.600585
39,"ГБОУ Школа в Капотне (Учебный корпус ""Камергерский"")",55.6301933,37.7967704
40,Школа «Содружество». Учебный корпус №1,55.7574312,37.7011875
41,Детская хоровая школа «Весна»,55.8706346,37.6480796
43,Школа №309,55.8632082,37.6793466
45,Школа №934,55.5823994,37.6778301
46,Школа №281,55.8665021,37.6703141
47,Центр образования №1816,55.7367864,37.4937056
48,Школа №426,55.6245364,37.7192144
49,Центр образования №117,55.6693832,37.534134
50,Гимназия №1517,55.7802492,37.4571477
51,Романовская школа,55.7728531,37.5820939
52,ГБОУ Школа №2089,55.6845895,37.9208877
53,Центр образования №1441«Бронная слобода»,55.7620395,37.5974549
54,Школа №298,55.8724788,37.6805273
55,Школа №1929,55.6353589,37.743337
58,Школа № 149 имени Героя Советского Союза Ю. Н. Зыкова,55.8057513,37.5009076
59,Школа №648,55.8554885,37.5022595
60,Школа №1043,55.6470008,37.7488536
61,Центр образования №1685,55.7475168,37.6526198
62,"Школа № 902 ""Диалог"", здание №3",55.5913274,37.6700217
63,"Школа № 902 ""Диалог"", здание №2",55.593533,37.6660668
64,средняя общеобразовательная школа № 37,57.1467051,65.569644
65,Школа №1274,55.7233969,37.67137
66,Школа №1314,55.7130695,37.7891315
67,Школа № 2090,55.713451,37.7879981
68,Школа №1415,55.8246563,37.6247623
69,"ГБОУ школа № 507, здание № 3",55.6673747,37.6542195
70,"ГБОУ школа № 2009, Школьный корпус 2",55.5447724,37.5197139
71,Центр образования №1492,55.5403055,37.5078683
72,"ГБОУ школа № 2009, Школьный корпус 3",55.5450665,37.5207983
73,Школа №1978,55.540001,37.5064918
74,Школа № 171 Школьное отделение № 2,55.7194291,37.5750929
75,ЦССВ им. Россолимо,55.7155183,37.9108377
76,Школа № 305,55.8755815,37.5798725
77,Школа-интернат для глухих детей №65,55.7162602,37.7377174
78,Школа-интернат №105,55.7165616,37.7402113
79,Школа №1114,55.7647688,37.4906759
80,Школа № 996,55.6269965,37.7236231
81,Спецшкола №991,55.6193772,37.7395421
82,ГБОУ школа № 1558 имени Росалии де Кастро,55.8681585,37.6603169
83,"ГБОУ школа № 507, здание № 9",55.6721224,37.6572188
84,Школа № 1266,55.7048374,37.578306
85,Центр образования №1421,55.7135878,37.7530688
86,Школа №1367,55.7146528,37.7524919
87,Школа № 1975 (надомного обучения),55.6376059,37.3444904
88,Школа №363 (начальные классы),55.8087912,37.7119852
89,Центр образования № 1466 имени Надежды Рушевой,55.6293298,37.6749566
90,Школа №1257,55.7145546,37.6259982
91,Школа №878 отделение №2,55.6143271,37.6979107
93,Центр образования №1409,55.7840878,37.5315363
94,Школа № 199 (начальные классы),55.692326,37.5657951
95,"ГБОУ школа №463, здание № 5",55.6756477,37.6705987
96,Лицей №1523,55.6773454,37.6817597
97,ГБОУ школа № 1527 Корпус 4,55.6808685,37.6876232
99,Школа №1213,55.8439594,37.5653435
100,Школа №1188,55.8802901,37.691191
101,Школа №396,55.7397949,37.6861473
102,Школа №1084,55.6985872,37.8401549
103,Начальная школа – детский сад № 1760,55.6995586,37.8409829
104,Школа № 1273. Корпус школьного образования №1,55.6292478,37.5227549
105,Гимназия №1570,55.7893227,37.5772352
106,Школа № 17. Школьное здание №4,55.6369476,37.5405138
107,Детский юношеский центр,55.8838133,37.6499429
108,Школа №1380,55.8844527,37.6516384
110,Школа №1738,55.6971043,37.8550367
111,Школа № 1260,55.6998705,37.5568668
