ID,name,latitude,longitude
1,Детский сад № 1204,55.6839716,37.5734071
2,Детский сад №2428,55.5485745,37.5295459
3,Детский сад №1189,55.7892559,37.619603
4,"Детский сад - Школа Свиблово, корпус 12",55.8527736,37.6536023
5,СПДО № 1 школы № 1784,55.7779019,37.5762138
10,Детский сад № 2463,55.5418213,37.524096
11,Детский сад № 2482,55.5422891,37.5236072
12,Детский сад № 2414,55.5388101,37.5392446
13,Детский сад №2393,55.535882,37.5197683
14,Детский сад №2485,55.5452928,37.5378987
16,"Школа №2009 здание №12 ""Семицветье детства""",55.5385614,37.530321
17,Детский сад №1824,55.7724937,37.4855377
19,Школа № 2054. Дошкольный корпус № 3,55.7697175,37.5995896
20,Детский сад №513,55.7707493,37.6032283
21,Детский сад №2140,55.8146776,37.6445515
22,Детский сад №1320,55.8153467,37.6447063
23,Детский сад №1342 «Солнышко»,55.8150162,37.6505895
24,"Школа № 1239, дошкольное отделение",55.7612391,37.5953884
25,Школа № 1950 с углубленным изучением отдельных предметов. Дошкольное отделение,55.7717618,37.5855241
26,Школа №1499 (дошкольное отделение №6),55.8356163,37.6644287
30,"Романовская школа, дошкольное отделение № 1 «Звёздочка»",55.7733392,37.5809738
31,Детский сад №1144,55.7603816,37.5956879
32,Детский сад №3,55.7630146,37.5994673
33,Детский сад №1684,55.8721575,37.6815924
36,Детский сад №2324,55.6478415,37.7509163
38,"Детский сад №2709 ""Совёнок""",55.7745419,37.4902214
39,Детский сад № 1650,55.7301209,37.4087441
40,Детский сад № 1470,55.7294341,37.4087308
41,Детский сад Феникс,55.5938026,37.6695414
42,"Школа № 902 ""Диалог"", здание №8",55.5936898,37.6680902
43,"Школа № 902 ""Диалог"", здание №11",55.591127,37.6681777
44,"Школа № 902 ""Диалог"", здание №10",55.5910223,37.6667322
45,Детский сад № 1368,55.6755258,37.6900136
46,Школа № 1158. Корпус дошкольного образования «Открытие»,55.6295375,37.5957873
47,Школа № 1158. Корпус школьного образования №2,55.6300278,37.5945952
51,Детский сад №1541,55.8908275,37.6768881
52,Детский сад №1495,55.8899927,37.6769625
53,"ГБОУ школа № 2009, Цветочная поляна",55.5455678,37.522175
54,Детский сад № 2432,55.5396252,37.505126
55,Детский сад №1155,55.7176475,37.575196
56,Детский сад №172,55.8058568,37.822233
57,"Школа №1748 ""Вертикаль"". Корпус №6 ""Цветик-семицветик""",55.8056378,37.8206519
58,Школа № 2099. Дошкольное здание,55.816185,37.4961085
59,Детский сад №1633,55.7654883,37.490507
60,ДОУ №1729,55.7668255,37.6678701
61,Детский сад ЦРР №32,55.6193083,37.7384342
62,Детский сад №2420,55.8679673,37.6582333
63,Детский сад №1870,55.8686113,37.6585889
64,"ГБОУ школа № 507, Радуга (здание № 6)",55.6697752,37.65829
65,Детский сад №777,55.7857976,37.734087
66,Детский сад №696,55.8751193,37.6931984
67,Детский сад №1120,55.867757,37.6684159
68,"Школа №158, дошкольное отделение №5",55.8671514,37.4653512
69,"Школа №158, дошкольное отделение №4",55.8664185,37.4657795
70,"Центр развития творчества детей и юношества ""Планета""",55.7044491,37.5789552
71,Школа № 1266. Дошкольное отделение,55.7040403,37.5775092
73,Детский сад № 1844,55.6380422,37.3452135
74,Детский сад № 1869,55.6385236,37.3459273
75,Детский сад № 53,55.6947284,37.5746135
76,Детский сад № 2243,55.6962045,37.561549
77,Общеобразовательная школа №1861 с дошкольным отделением,55.5755155,37.6754012
78,Детский сад №1255,55.875249,37.649616
79,Дом ребенка №23,55.8761197,37.6489728
80,ГБОУ школа № 1527 Корпус Дельфиненок,55.6804069,37.6860008
81,Детский сад №830,55.7746839,37.484466
82,Детский сад №756,55.7027047,37.8095237
83,Детский сад №2665,55.8657463,37.5296892
84,Детский сад №633,55.8663685,37.5297428
85,ГБОУ Детский сад №9,55.7708635,37.4800582
87,Школа № 1273. Корпус дошкольного образования №3,55.6300119,37.5231402
88,Школа № 17. Дошкольный корпус № 1,55.6383431,37.5280169
89,Школа № 17. Дошкольный корпус №3,55.6374659,37.5388157
90,Детский сад №1849,55.8845623,37.6497155
91,Детский сад №2278,55.6971367,37.8564535
93,Школа № 17. Дошкольный корпус №6,55.6340578,37.5328202
94,"Школа № 1288, корпус № 8",55.7787734,37.5213099
95,Детский сад №2221,55.6995326,37.849162
96,Детский сад № 2308,55.5455437,37.5501338
97,Детский сад № 2309,55.5451205,37.5497038
98,Детский сад №1839,55.5461528,37.5536604
99,Детский сад №2306,55.546227,37.5527684
100,"Школа № 2123 имени Мигеля Эрнандеса. Дошкольное отделение ""Журавушка""",55.7618487,37.5997866
101,Детский сад №1611,55.8717965,37.5172604
106,Школа № 1950 с углубленным изучением отдельных предметов. Дошкольное отделение,55.7671184,37.5867091
107,Детский сад школы № 1364,55.6558233,37.3874223
108,Детский сад №2635,55.6908751,37.572006
109,Дошкольное отделение №2 «Рябинушка» школы №2123,55.7567566,37.5902411
110,Детский сад №3,55.7365461,37.6531505
111,Детский сад №1827,55.7355475,37.6541212
112,Детский сад № 1618,55.6933192,37.4991307
113,"Центр психолого-медико-социального сопровождения ""Раменки""",55.6938073,37.4999947
114,Детский сад №2164,55.7320866,37.58664
115,Детский сад №291,54.9683546,73.3967634
116,"Школа № 1564 имени Героя Советского Союза А.П. Белобородова. Детский сад ""Колосок""",55.8298389,37.3494927
117,Детский сад № 367,55.6516985,37.4036964
118,Детский сад № 37,55.6522833,37.4019509
119,Школа №1078 (Модуль №5),55.8190706,37.822638
120,Школа №368 (Здание №3),55.8190607,37.8148522
121,Школа №1598. Здание №12,55.819322,37.8292055
122,Детский сад №233,55.668933,37.5490159
123,Детский сад №293,55.668595,37.5499694
124,"Школа № 1900. Дошкольная ступень ""Светлячок""",55.8407049,37.360804
125,Школа №2031 Дошкольные группы,55.7110879,37.8584416
127,Детский сад №2287,55.8756377,37.5815872
128,Детский сад №36,55.7720042,37.7305262
130,Школа №1179. Корпус дошкольного образования №4,55.6351639,37.6075809
131,Школа №1179. Корпус дошкольного образования №3,55.6356447,37.6079979
132,Детский сад №2389,55.8847424,37.6844234
133,Детский сад №380,55.7377889,37.4665472
134,Детский сад №1159,55.8089016,37.6405263
135,Детский сад №348,54.9967264,73.3489959
136,Детский сад №383,54.9970907,73.3485602
137,Учебный корпус дошкольных групп «Жар-птица 2»,55.9090815,37.3876457
138,Учебный корпус дошкольных групп «Жар-птица 1»,55.9080852,37.3878313
139,Детский сад №188,54.9578722,73.3827936
140,Детский сад №191,54.9579772,73.3837797
141,Детский сад №869,55.8592521,37.4700925
142,Детский сад №1262,55.8670411,37.5687592
143,Школа № 1383. Корпус 3,55.8593028,37.5661993
144,Школа № 1383. Корпус 4,55.8586097,37.5662128
145,Детский сад №1472,55.7280741,37.5872774
147,"Детский сад ""Юниор-парк""",55.8657052,37.5543541
148,"Школа № 656 имени А. С. Макаренко, дошкольное отделение",55.8650348,37.5548924
149,Детский сад №72,54.9654108,73.3811785
150,Детский сад № 1951 комбинированного вида,55.7763858,37.6003314
151,Детский сад №49,55.7844535,37.6313068
152,Детский сад № 1021,55.7897922,37.6257217
153,Детский сад №1517,55.7763258,37.4605473
154,Гимназия №1517,55.7754771,37.4658991
155,Гимназия №1517,55.775982,37.4633056
156,"Школа № 1133. Дошкольное отделение ""Родник""",55.7498628,37.4204831
157,"Школа № 777 имени Героя Советского Союза Е. В. Михайлова. Дошкольный корпус ""Сказка""",55.7275453,37.7611404
158,Детский сад №2444,55.8712089,37.5673144
159,Школа № 1234. Дошкольный корпус,55.7562398,37.5863404
161,Умница,54.977805,73.4089661
162,Детский сад №1389,55.8714024,37.5591549
163,Детский сад №642,55.8712824,37.5574807
164,Филипповская школа,55.7256014,37.5641975
166,Детский сад №1486,55.8758657,37.5444077
167,Детский сад №2298,55.8755071,37.5435031
168,Детский сад №1578,55.8770485,37.5507131
169,Детский сад №669,55.7414618,37.5747631
170,Детский сад №2044,55.842186,37.504784
172,Детский сад №1080,55.7107297,37.7403293
173,Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 1268,55.8913369,37.5350199
174,"Школа №2054, Дошкольное отделение №1",55.7672766,37.6164575
175,Детский сад №632,55.8709959,37.5496012
176,Детский сад №822,55.8751489,37.5522452
177,Детский сад «Чудо-Садик»,55.771781,37.3918354
178,"Школа № 1241, дошкольное отделение",55.7605417,37.5657947
179,"Школа № 1241, дошкольное отделение",55.760993,37.5653913
180,Гимназия № 1570. Дошкольное отделение,55.7813388,37.5845225
181,Школа «Содружество». Учебный корпус №4,55.7568008,37.6964894
182,"Школа № 1228 ""Лефортово"". Корпус ""Цветик-семицветик""",55.7638631,37.7148521
