ID,name,latitude,longitude
1,Бульвар Рокоссовского,55.8148,37.7342
2,Черкизовская,55.8038,37.7448
3,Преображенская площадь,55.7963,37.7151
4,Сокольники,55.7888,37.6802
5,Красносельская,55.7801,37.6673
6,Комсомольская,55.7753,37.6562
7,Красные Ворота,55.769,37.6487
8,Чистые пруды,55.7657,37.6388
9,Лубянка,55.7597,37.6272
10,Охотный Ряд,55.7577,37.6166
11,Библиотека имени Ленина,55.7512,37.61
12,Кропоткинская,55.7453,37.6037
13,Парк культуры,55.7356,37.5943
14,Фрунзенская,55.7267,37.5786
15,Спортивная,55.7233,37.5639
16,Воробьёвы горы,55.7103,37.5592
17,Университет,55.6926,37.5333
18,Проспект Вернадского,55.6771,37.506
19,Юго-Западная,55.6637,37.4833
20,Тропарёво,55.6459,37.4725
21,Румянцево,55.633,37.4419
22,Саларьево,55.6219,37.4242
23,Филатов Луг,55.601367,37.407645
24,Прокшино,55.586242,37.433802
25,Ольховая,55.568643,37.459332
26,Новомосковская,55.560396,37.46822
27,Потапово,55.553,37.493
28,Ховрино,55.878764,37.481493
29,Беломорская,55.8658,37.4764
30,Речной вокзал,55.8549,37.4761
31,Водный стадион,55.8398,37.4867
32,Войковская,55.819,37.498
33,Сокол,55.8051,37.5153
34,Аэропорт,55.8003,37.5329
35,Динамо,55.7897,37.558
36,Белорусская,55.7767,37.5835
37,Маяковская,55.7701,37.5958
38,Тверская,55.7647,37.6065
39,Театральная,55.7578,37.619
40,Новокузнецкая,55.7415,37.6295
41,Павелецкая,55.7305,37.6377
42,Автозаводская,55.7074,37.6576
43,Технопарк,55.693861,37.664379
44,Коломенская,55.6785,37.6638
45,Каширская,55.6551,37.6487
46,Кантемировская,55.6358,37.6564
47,Царицыно,55.6214,37.6694
48,Орехово,55.6132,37.6949
49,Домодедовская,55.6108,37.7186
50,Красногвардейская,55.6137,37.7444
51,Алма-Атинская,55.6326,37.766
52,Пятницкое шоссе,55.8563,37.3544
53,Митино,55.8457,37.3622
54,Волоколамская,55.8354,37.3822
55,Мякинино,55.8252,37.3852
56,Строгино,55.8038,37.4031
57,Крылатское,55.7567,37.4081
58,Молодёжная,55.7408,37.4168
59,Кунцевская,55.7307,37.4459
60,Славянский бульвар,55.7296,37.4706
61,Парк Победы,55.7362,37.5182
62,Киевская,55.744339,37.565509
63,Смоленская,55.7474,37.5823
64,Арбатская,55.7522,37.6061
65,Площадь Революции,55.7566,37.6216
66,Курская,55.758039,37.658204
67,Бауманская,55.773,37.6806
68,Электрозаводская,55.7817,37.7037
69,Семёновская,55.7833,37.7208
70,Партизанская,55.7886,37.7506
71,Измайловская,55.7878,37.7814
72,Первомайская,55.7948,37.7993
73,Щёлковская,55.8094,37.7986
74,Кунцевская,55.7307,37.4459
75,Пионерская,55.736,37.4671
76,Филёвский парк,55.7396,37.4833
77,Багратионовская,55.7438,37.4977
78,Фили,55.746,37.515
79,Кутузовская,55.7399,37.5344
80,Студенческая,55.7388,37.5483
81,Москва-Сити,55.7483,37.5339
82,Деловой центр,55.749976,37.541074
83,Киевская,55.7436,37.5655
84,Смоленская,55.7488,37.5825
85,Арбатская,55.7518,37.6007
86,Александровский сад,55.752433,37.60879
87,Парк культуры,55.7357,37.5915
88,Октябрьская,55.7297,37.6091
89,Добрынинская,55.7291,37.6243
90,Павелецкая,55.7318,37.6379
