ID,name,latitude,longitude
1,Старый Лекарь,55.782707,37.7200532
2,Горздрав,55.6819475,37.4531137
3,Здоров.ру,55.7935975,37.615213
4,Век живи,55.8243806,37.6223248
5,Горздрав,55.8239741,37.6321465
6,Медздрав,55.8134092,37.6038235
7,Фарма Терра+,55.8201682,37.6210987
8,Ригла,55.8039361,37.6185976
10,Диалог,55.822261,37.6234884
12,Горздрав,55.8210014,37.6298384
13,Аптека ГКБ №4,55.7152945,37.628305
14,Лекрус,55.8869483,37.662333
17,Фармленд,55.8587838,37.6962805
19,ГорЗдрав,55.7258742,37.6644577
20,А5,55.6212252,37.7382501
21,Аспирин,55.6205298,37.7355923
23,"36,6",55.7256356,37.4626731
24,Столичные аптеки,55.7404309,37.6485217
25,Столичные Аптеки,55.8703217,37.5461214
26,А+а,55.7806948,37.4533125
27,Аптека №59,55.641816,37.5436005
31,Горздрав,55.7142423,37.6201613
32,Академическая,55.686906,37.5732415
33,Аптека №46,55.7181815,37.6083954
34,Планета здоровья,55.8579249,37.6402142
35,Столички,55.7027921,37.5700562
36,АСНА,55.7012173,37.7333037
37,СВиЛА,55.6404048,37.504398
38,Валерьяночка,55.8891415,37.3945832
39,Аптеки столицы,55.7157594,37.6765988
41,Столички,55.7287441,37.6785198
45,"36,6",55.6434847,37.5259916
46,"36,6",55.645372,37.5186451
47,Здесь аптека,55.7285326,37.622765
48,Столички,55.6798141,37.7247272
49,Столички,55.7193075,37.7315597
50,Доктор Н,55.7731376,37.6266824
52,120 на 80,55.7102775,37.7314008
53,"36,6",55.6333126,37.6236836
54,"36,6",55.6534141,37.6209725
55,Аптека № 52,55.6204965,37.6969886
57,Аптеки Столицы,55.610465,37.7092777
58,На Широтной,57.1138892,65.5767214
59,"36,6",55.6557714,37.5419276
60,Столичные Аптеки,55.6768007,37.527673
61,Сердечко,55.6285645,37.5995397
62,Шуваловская,55.701684,37.5102909
63,Аптека столицы,55.7154262,37.5190005
64,Горздрав,55.7081025,37.5113487
67,Фармленд,55.6612556,37.5277607
68,Аптеки Столицы,55.7431342,37.8516923
69,Аптеки столицы,55.8738548,37.5510845
70,Ригла,55.7987139,37.3968518
72,Фармленд,57.1423399,65.5627417
73,Столички,55.6167753,37.7571092
74,Аптека Форте,55.8685022,37.6790033
75,Горздрав,55.8685787,37.6692748
77,"36,6",55.6900097,37.6020704
78,Ригла,55.6161809,37.7306438
79,"36,6",55.7671933,37.6003938
82,СВАП,55.7053742,37.7394221
84,Фармленд,55.8915584,37.5979113
86,Столичные аптеки,55.6997905,37.738651
87,"36,6",55.6883357,37.6047494
89,Горздрав,55.7916035,37.7750493
91,Ригла,55.8036274,37.4063375
92,Лена-фарм,55.5384362,37.5072846
93,Комфорт 3,55.5401895,37.5100526
94,Ним,55.5413349,37.5111148
95,Никольская,55.5416438,37.5127831
96,Горздрав,55.8169942,37.6473278
99,Сердечко,55.8703764,37.6750293
100,Азбука здоровья,55.7284321,37.7635932
101,Алоэ,55.8129787,37.8236121
102,Горздрав,55.6145023,37.7437241
103,Столички,55.6222406,37.7352711
104,Аптеки Столицы,55.8879438,37.6656112
106,Эвалар,55.7357285,37.5925272
108,Столичные аптеки,55.8632188,37.4362254
109,Будь здоров!,55.8658982,37.4425961
111,Столички,55.8431205,37.4395477
112,Мед-магазин.ру,55.8526009,37.6567242
113,Фармленд,55.8535491,37.6488177
114,Ригла,55.6510224,37.7483324
115,Дежурная,55.6321583,37.5172403
116,ГОМ-7,55.7627045,37.776889
117,Ригла,55.8008712,37.5028621
118,Ригла,55.8042504,37.5135604
120,Горздрав,55.645864,37.7378507
121,Компавита,55.7112317,37.642005
122,Ригла,55.8176833,37.5023691
123,Здравсити,55.8480872,37.4894426
124,Столичные аптеки,55.8976694,37.6290692
125,Ваша №1,55.885907,37.6081839
126,осна,55.7750369,37.5395957
127,Здравсити,55.7913219,37.6710054
128,Горздрав,55.7947729,37.7288708
130,Аптеки Столицы,55.7968059,37.7219583
131,Эконом,55.8405487,37.5481157
132,Горздрав,55.7218643,37.6271486
133,Будь здоров!,55.8413997,37.5364387
135,Столички,55.8629529,37.678116
136,Аптека скандинавского центра здоровья,55.7489883,37.7109534
137,Планета здоровья,55.7505924,37.7138871
138,ЗдравСити,55.789112,37.6777192
139,Ригла,55.8653451,37.4960431
140,Столички,55.8494747,37.352943
141,Столичные Аптеки,55.8124116,37.393339
144,Грибная аптека,55.8503917,37.6542001
145,Аптека №55,55.6694814,37.5515146
146,Горздрав,55.7964,37.719682
147,Трика,55.746729,37.7206165
148,ТРИКА,55.7528816,37.8050515
149,ТриКа,55.6104065,37.7352664
150,Столичные аптеки,55.6586863,37.408127
151,Здоровье,55.6331118,37.5200577
152,"36,6",55.6411415,37.5016846
153,Фармленд,55.8594886,37.4375185
154,Столички,55.6227143,37.5055156
155,Столичные Аптеки,55.6546083,37.3851319
156,Ригла,55.8545214,37.4716495
157,"36,6",55.8554316,37.476584
158,Столички,55.7782968,37.5215827
159,Ригла,55.6515567,37.3979641
160,Старый Лекарь,55.8092179,37.4642939
161,Веста,55.7341164,37.4180815
162,Старый Лекарь,55.659855,37.61871
163,Нова Вита,55.8439486,37.4388242
164,Аптеки Столицы,55.8488372,37.4276929
166,Аптеки столицы,55.8775492,37.6479271
167,Ригла,55.727869,37.6375204
168,НеоФарм,55.6506529,37.5598396
169,Доктор Столетов,55.6406202,37.6582042
170,Самсон-Фарма,55.6384607,37.6660894
171,"36,6",55.5486327,37.5426874
172,03,55.5471167,37.5530996
173,Проким,55.8618118,37.6444201
174,Горздрав,55.6120303,37.6000739
175,Аракс,55.5649118,37.5748315
177,"36,6",55.7473456,37.5851869
178,Мосаптека,55.7226518,37.8244188
179,Мосаптека,55.7834482,37.7199946
181,Апрель,55.7178564,37.8269306
182,Горздрав,55.718604,37.8247448
183,Аптемир,55.8644769,37.6627127
184,Мосаптека,55.7834141,37.7191532
186,Столичные Аптеки,55.6498408,37.4030543
187,Ригла,55.8769625,37.6837853
188,Трика,55.7695718,37.7138574
189,Ригла,55.864859,37.6800975
190,Аптека 386,55.6087911,37.5138944
191,Медит групп,55.6918456,37.5604745
192,"36,6",55.6982981,37.5515892
193,Столичные Аптеки,55.743533,37.396578
194,Знахарь,55.745551,37.393047
195,Доктор Столетов,55.745804,37.394565
196,Столичные Аптеки,55.6030735,37.5906354
197,МЖК,57.1084629,65.5857124
198,Бережная аптека,57.1047071,65.5856516
199,Столичные аптеки,55.6087779,37.6122391
200,Горздрав,55.8049767,37.5125199
201,ГорЗдрав,55.8025132,37.8042001
202,Горздрав,55.6477906,37.4068832
203,Горздрав,55.6183444,37.5927733
204,Старый Лекарь,55.8945003,37.5880843
205,"ООО ""Балтфарм""",55.8900817,37.5934895
207,Абикон Фарма,55.8953679,37.5912383
208,Ригла,55.8978453,37.5915176
209,Ромашки,55.8997456,37.5882056
211,БиоРитм,55.896924,37.5881447
213,"ООО ""Еврофарм""",55.8907271,37.5911374
214,Я здоров,55.6497685,37.3695822
215,Формула здоровья,55.5469173,37.543509
216,20 капель,55.54966,37.5554785
217,Горздрав,55.7470953,37.7754938
218,Камелия,55.5685718,37.5814614
219,Дежурная аптека ЗАО «Экохелп Бутово»,55.5687315,37.5634817
221,Горздрав,55.8881877,37.6578525
223,Горздрав,55.7388611,37.5468526
225,Ригла,55.5990658,37.6635541
226,Горздрав,55.7201966,37.4215878
229,Здравсити,55.8721307,37.6645846
230,Солнышко,55.7093608,37.661133
231,Ригла,55.807913,37.4079021
232,Таблетка,55.8797762,37.6961299
233,Горздрав,55.8513874,37.4376599
234,Горздрав,55.8509479,37.4340142
236,М3,55.6559826,37.4041896
237,Ригла,55.8559285,37.4201642
